Anno;Mese;Zona;Incidenti;Morti;Feriti
2001;8;2;64;2;88
2001;8;3;112;0;167
2001;8;4;84;0;117
2001;8;5;87;2;137
2001;8;6;64;1;88
2001;8;7;84;0;127
2001;8;8;117;0;155
2001;8;9;127;1;176
2001;9;;50;0;82
2001;9;1;182;0;248
2001;9;2;106;0;146
2001;9;3;182;0;261
2001;9;4;155;1;229
2001;9;5;154;1;218
2001;9;6;116;2;150
2001;9;7;168;0;230
2001;9;8;188;0;250
2001;9;9;190;2;261
2001;10;;64;0;91
2001;10;1;216;1;285
2001;10;2;101;0;138
2001;10;3;225;1;311
2001;10;4;177;1;233
2001;10;5;143;0;188
2001;10;6;149;0;203
2001;10;7;181;0;235
2001;10;8;192;1;257
2001;10;9;227;2;321
2001;11;;66;0;87
2001;11;1;206;0;279
2001;11;2;99;1;152
2001;11;3;211;1;285
2001;11;4;159;2;223
2001;11;5;147;1;194
2001;11;6;126;0;165
2001;11;7;143;1;192
2001;11;8;213;0;286
2001;11;9;213;0;307
2001;12;;53;0;81
2001;12;1;187;0;238
2001;12;2;97;0;116
2001;12;3;162;0;239
2001;12;4;136;1;181
2001;12;5;152;1;213
2001;12;6;125;1;197
2001;12;7;153;1;214
2001;12;8;184;1;250
2001;12;9;207;0;272
2002;1;;41;0;51
2002;1;1;148;1;201
2002;1;2;81;1;110
2002;1;3;149;1;208
2002;1;4;126;2;183
2002;1;5;130;0;182
2002;1;6;125;1;169
2002;1;7;114;0;151
2002;1;8;153;1;219
2002;1;9;169;0;225
2002;2;;54;0;73
2002;2;1;144;2;189
2002;2;2;83;0;105
2002;2;3;153;1;193
2002;2;4;112;2;148
2002;2;5;112;2;162
2002;2;6;101;2;132
2002;2;7;119;0;167
2002;2;8;144;1;196
2002;2;9;170;1;229
2002;3;;50;0;82
2002;3;1;192;0;258
2002;3;2;97;0;133
2002;3;3;190;1;264
2002;3;4;119;0;167
2002;3;5;146;1;197
2002;3;6;135;0;217
2002;3;7;134;0;172
2002;3;8;166;0;237
2002;3;9;206;1;294
2002;4;;55;0;79
2002;4;1;168;2;211
2002;4;2;110;0;170
2002;4;3;180;0;266
2002;4;4;140;1;201
2002;4;5;138;2;201
2002;4;6;122;0;156
2002;4;7;151;0;241
2002;4;8;186;4;251
2002;4;9;189;1;263
2002;5;;63;1;84
2002;5;1;198;0;243
2002;5;2;120;0;182
2002;5;3;208;0;282
2002;5;4;169;1;229
2002;5;5;157;1;216
2002;5;6;119;0;153
2002;5;7;178;1;265
2002;5;8;185;2;245
2002;5;9;229;0;314
2002;6;;61;0;80
2002;6;1;168;1;209
2002;6;2;90;0;110
2002;6;3;211;0;294
2002;6;4;155;2;221
2002;6;5;166;1;206
2002;6;6;134;0;207
2002;6;7;161;0;214
2002;6;8;169;2;232
2002;6;9;204;1;274
2002;7;;87;2;125
2002;7;1;183;0;238
2002;7;2;119;0;153
2002;7;3;206;0;277
2002;7;4;172;1;227
2002;7;5;135;2;197
2002;7;6;147;0;204
2002;7;7;175;0;240
2002;7;8;220;1;291
2002;7;9;247;2;335
2002;8;;40;0;57
2002;8;1;84;0;117
2002;8;2;61;0;95
2002;8;3;109;0;163
2002;8;4;76;0;105
2002;8;5;73;1;110
2002;8;6;50;0;70
2002;8;7;90;1;125
2002;8;8;85;1;120
2002;8;9;124;2;179
2002;9;;53;0;73
2002;9;1;211;0;260
2002;9;2;105;1;151
2002;9;3;185;0;237
2002;9;4;154;1;210
2002;9;5;145;0;209
2002;9;6;135;1;184
2002;9;7;154;1;208
2002;9;8;205;1;286
2002;9;9;189;0;264
2002;10;;64;0;86
2002;10;1;225;0;296
2002;10;2;135;2;171
2002;10;3;235;0;324
2002;10;4;179;1;239
2002;10;5;135;0;192
2002;10;6;147;0;189
2002;10;7;190;0;239
2002;10;8;228;1;298
2002;10;9;240;1;353
2002;11;;57;2;79
2002;11;1;250;1;327
2002;11;2;131;0;174
2002;11;3;197;0;276
2002;11;4;183;1;234
2002;11;5;157;1;228
2002;11;6;138;1;185
2002;11;7;166;1;243
2002;11;8;223;1;309
2002;11;9;198;0;270
2002;12;;60;0;87
2002;12;1;206;0;271
2002;12;2;140;0;191
2002;12;3;162;0;225
2002;12;4;128;0;181
2002;12;5;115;1;176
2002;12;6;122;0;166
2002;12;7;142;0;185
2002;12;8;183;0;294
2002;12;9;165;0;232
2003;1;;45;0;84
2003;1;1;168;1;235
2003;1;2;94;0;125
2003;1;3;156;0;215
2003;1;4;108;0;145
2003;1;5;120;0;160
2003;1;6;87;0;125
2003;1;7;130;1;186
2003;1;8;162;0;227
2003;1;9;166;0;232
2003;2;;48;0;70
2003;2;1;145;0;168
2003;2;2;94;0;128
2003;2;3;147;0;213
2003;2;4;129;0;187
2003;2;5;113;2;146
2003;2;6;84;1;126
2003;2;7;111;0;146
2003;2;8;142;1;206
2003;2;9;133;1;188
2003;3;;57;0;85
2003;3;1;170;0;218
2003;3;2;101;0;134
2003;3;3;167;1;229
2003;3;4;159;0;194
2003;3;5;159;2;229
2003;3;6;118;2;163
2003;3;7;157;0;228
2003;3;8;181;1;242
2003;3;9;210;2;323
2003;4;;68;0;87
2003;4;1;180;0;238
2003;4;2;97;1;140
2003;4;3;170;1;225
2003;4;4;131;0;183
2003;4;5;142;3;200
2003;4;6;124;0;171
2003;4;7;136;0;198
2003;4;8;165;0;198
2003;4;9;194;0;261
2003;5;;74;1;91
2003;5;1;213;0;260
2003;5;2;112;2;153
2003;5;3;207;1;301
2003;5;4;180;1;244
2003;5;5;167;2;222
2003;5;6;136;1;189
2003;5;7;192;0;257
2003;5;8;211;1;277
