ANNO ;CLASSE AMBIENTALE;AUTOVETTURE
2011;EURO 0;82529
2011;EURO 1;28067
2011;EURO 2;103387
2011;EURO 3;128149
2011;EURO 4;277675
2011;EURO 5;104173
2011;EURO 6;173
2011;Non contemplato;43
2011;Non identificato;254
2012;EURO 0;81084
2012;EURO 1;25269
2012;EURO 2;91749
2012;EURO 3;117272
2012;EURO 4;261126
2012;EURO 5;138913
2012;EURO 6;405
2012;Non contemplato;41
2012;Non identificato;235
2013;EURO 0;79521
2013;EURO 1;22609
2013;EURO 2;82652
2013;EURO 3;107618
2013;EURO 4;247485
2013;EURO 5;149360
2013;EURO 6;11604
2013;Non definito;452
2014;EURO 0;78765
2014;EURO 1;20655
2014;EURO 2;73239
2014;EURO 3;99246
2014;EURO 4;234046
2014;EURO 5;172062
2014;EURO 6;7916
2014;Non definito;450
2015;EURO 0;77460
2015;EURO 1;19375
2015;EURO 2;66156
2015;EURO 3;92302
2015;EURO 4;224268
2015;EURO 5;183983
2015;EURO 6;22613
2015;Non contemplato;316
2015;non definito;449
2016;EURO 0;76607
2016;EURO 1;18299
2016;EURO 2;59378
2016;EURO 3;83863
2016;EURO 4;212322
2016;EURO 5;160675
2016;EURO 6;78697
2016;Non contemplato;536
2016;Non definito;447
2017;EURO 0;76134
2017;EURO 1;17247
2017;EURO 2;52525
2017;EURO 3;75783
2017;EURO 4;199074
2017;EURO 5;152077
2017;EURO 6;126813
2017;Non contemplato;626
2017;Non definito;444
2018;EURO 0;75736
2018;EURO 1;16450
2018;EURO 2;47013
2018;EURO 3;66027
2018;EURO 4;183835
2018;EURO 5;143157
2018;EURO 6;159787
2018;Non contemplato;635
2018;Non definito;444
2019;Euro 0;75385
2019;Euro 1;15983
2019;Euro 2;42529
2019;Euro 3;56164
2019;Euro 4;165063
2019;Euro 5;135608
2019;Euro 6;198684
2019;Non contemplato;1050
2019;Non definito;448
