data;timeIndex;totale;areac
2012-01-01;00:00;915;0
2012-01-01;00:30;1823;0
2012-01-01;01:00;2357;0
2012-01-01;01:30;2475;0
2012-01-01;02:00;2395;0
2012-01-01;02:30;1953;0
2012-01-01;03:00;1686;0
2012-01-01;03:30;1427;0
2012-01-01;04:00;1228;0
2012-01-01;04:30;967;0
2012-01-01;05:00;858;0
2012-01-01;05:30;828;0
2012-01-01;06:00;711;0
2012-01-01;06:30;778;0
2012-01-01;07:00;499;0
2012-01-01;07:30;545;0
2012-01-01;08:00;495;0
2012-01-01;08:30;601;0
2012-01-01;09:00;693;0
2012-01-01;09:30;885;0
2012-01-01;10:00;1156;0
2012-01-01;10:30;1520;0
2012-01-01;11:00;1711;0
2012-01-01;11:30;1878;0
2012-01-01;12:00;2010;0
2012-01-01;12:30;1867;0
2012-01-01;13:00;1644;0
2012-01-01;13:30;1433;0
2012-01-01;14:00;1479;0
2012-01-01;14:30;1738;0
2012-01-01;15:00;2211;0
2012-01-01;15:30;2608;0
2012-01-01;16:00;2942;0
2012-01-01;16:30;3083;0
2012-01-01;17:00;2902;0
2012-01-01;17:30;2939;0
2012-01-01;18:00;2663;0
2012-01-01;18:30;2453;0
2012-01-01;19:00;2323;0
2012-01-01;19:30;2033;0
2012-01-01;20:00;1786;0
2012-01-01;20:30;1556;0
2012-01-01;21:00;1418;0
2012-01-01;21:30;1221;0
2012-01-01;22:00;1379;0
2012-01-01;22:30;1113;0
2012-01-01;23:00;1026;0
2012-01-01;23:30;913;0
2012-01-02;00:00;728;0
2012-01-02;00:30;476;0
2012-01-02;01:00;395;0
2012-01-02;01:30;274;0
2012-01-02;02:00;196;0
2012-01-02;02:30;160;0
2012-01-02;03:00;158;0
2012-01-02;03:30;160;0
2012-01-02;04:00;182;0
2012-01-02;04:30;313;0
2012-01-02;05:00;474;0
2012-01-02;05:30;699;0
2012-01-02;06:00;1026;0
2012-01-02;06:30;1834;0
2012-01-02;07:00;2401;0
2012-01-02;07:30;2380;0
2012-01-02;08:00;2788;0
2012-01-02;08:30;2957;0
2012-01-02;09:00;2849;0
2012-01-02;09:30;2937;0
2012-01-02;10:00;2870;0
2012-01-02;10:30;2900;0
2012-01-02;11:00;2982;0
2012-01-02;11:30;2907;0
2012-01-02;12:00;2784;0
2012-01-02;12:30;2629;0
2012-01-02;13:00;2396;0
2012-01-02;13:30;2363;0
2012-01-02;14:00;2618;0
2012-01-02;14:30;3041;0
2012-01-02;15:00;3056;0
2012-01-02;15:30;3109;0
2012-01-02;16:00;3041;0
2012-01-02;16:30;2998;0
2012-01-02;17:00;3012;0
2012-01-02;17:30;3216;0
2012-01-02;18:00;3279;0
2012-01-02;18:30;2936;0
2012-01-02;19:00;2702;0
2012-01-02;19:30;2760;0
2012-01-02;20:00;2302;0
2012-01-02;20:30;1825;0
2012-01-02;21:00;1493;0
2012-01-02;21:30;1365;0
2012-01-02;22:00;1289;0
2012-01-02;22:30;1182;0
2012-01-02;23:00;1088;0
2012-01-02;23:30;931;0
2012-01-03;00:00;854;0
2012-01-03;00:30;604;0
2012-01-03;01:00;483;0
2012-01-03;01:30;354;0
2012-01-03;02:00;253;0
2012-01-03;02:30;201;0
2012-01-03;03:00;182;0
2012-01-03;03:30;176;0
2012-01-03;04:00;183;0
2012-01-03;04:30;332;0
2012-01-03;05:00;506;0
2012-01-03;05:30;762;0
2012-01-03;06:00;1100;0
2012-01-03;06:30;2032;0
2012-01-03;07:00;2868;0
2012-01-03;07:30;2912;0
2012-01-03;08:00;3431;0
2012-01-03;08:30;4095;0
2012-01-03;09:00;4109;0
2012-01-03;09:30;4036;0
2012-01-03;10:00;3826;0
2012-01-03;10:30;3731;0
2012-01-03;11:00;3804;0
2012-01-03;11:30;3610;0
2012-01-03;12:00;3264;0
2012-01-03;12:30;3065;0
2012-01-03;13:00;2767;0
2012-01-03;13:30;2708;0
2012-01-03;14:00;2889;0
2012-01-03;14:30;3397;0
2012-01-03;15:00;3403;0
2012-01-03;15:30;3412;0
2012-01-03;16:00;3367;0
2012-01-03;16:30;3230;0
2012-01-03;17:00;3309;0
2012-01-03;17:30;3586;0
2012-01-03;18:00;3472;0
2012-01-03;18:30;3395;0
2012-01-03;19:00;3088;0
2012-01-03;19:30;3051;0
2012-01-03;20:00;2722;0
2012-01-03;20:30;2025;0
2012-01-03;21:00;1677;0
2012-01-03;21:30;1573;0
2012-01-03;22:00;1579;0
2012-01-03;22:30;1397;0
2012-01-03;23:00;1364;0
2012-01-03;23:30;1274;0
2012-01-04;00:00;1015;0
2012-01-04;00:30;767;0
2012-01-04;01:00;524;0
2012-01-04;01:30;464;0
2012-01-04;02:00;340;0
2012-01-04;02:30;229;0
2012-01-04;03:00;179;0
2012-01-04;03:30;183;0
2012-01-04;04:00;200;0
2012-01-04;04:30;299;0
2012-01-04;05:00;462;0
2012-01-04;05:30;706;0
2012-01-04;06:00;984;0
2012-01-04;06:30;1970;0
2012-01-04;07:00;2719;0
2012-01-04;07:30;3029;0
2012-01-04;08:00;3534;0
2012-01-04;08:30;4204;0
2012-01-04;09:00;4212;0
2012-01-04;09:30;4347;0
2012-01-04;10:00;3976;0
2012-01-04;10:30;3947;0
2012-01-04;11:00;3995;0
2012-01-04;11:30;3571;0
2012-01-04;12:00;3420;0
2012-01-04;12:30;3241;0
2012-01-04;13:00;2939;0
2012-01-04;13:30;2848;0
2012-01-04;14:00;3108;0
2012-01-04;14:30;3522;0
2012-01-04;15:00;3557;0
2012-01-04;15:30;3551;0
2012-01-04;16:00;3512;0
2012-01-04;16:30;3384;0
2012-01-04;17:00;3528;0
2012-01-04;17:30;3743;0
2012-01-04;18:00;3684;0
2012-01-04;18:30;3666;0
2012-01-04;19:00;3423;0
2012-01-04;19:30;3736;0
2012-01-04;20:00;2935;0
2012-01-04;20:30;2252;0
2012-01-04;21:00;1921;0
2012-01-04;21:30;1758;0
2012-01-04;22:00;1769;0
2012-01-04;22:30;1622;0
2012-01-04;23:00;1516;0
2012-01-04;23:30;1559;0
2012-01-05;00:00;1150;0
2012-01-05;00:30;983;0
2012-01-05;01:00;663;0
2012-01-05;01:30;493;0
2012-01-05;02:00;359;0
2012-01-05;02:30;286;0
2012-01-05;03:00;206;0
2012-01-05;03:30;180;0
2012-01-05;04:00;214;0
2012-01-05;04:30;333;0
2012-01-05;05:00;509;0
2012-01-05;05:30;727;0
2012-01-05;06:00;1044;0
2012-01-05;06:30;1958;0
2012-01-05;07:00;2685;0
2012-01-05;07:30;2998;0
2012-01-05;08:00;3461;0
2012-01-05;08:30;4247;0
2012-01-05;09:00;4419;0
2012-01-05;09:30;4801;0
2012-01-05;10:00;4838;0
2012-01-05;10:30;4587;0
2012-01-05;11:00;4456;0
2012-01-05;11:30;4233;0
2012-01-05;12:00;3682;0
2012-01-05;12:30;3667;0
2012-01-05;13:00;3297;0
2012-01-05;13:30;3144;0
2012-01-05;14:00;3339;0
2012-01-05;14:30;3912;0
2012-01-05;15:00;4004;0
2012-01-05;15:30;3974;0
2012-01-05;16:00;3926;0
2012-01-05;16:30;4049;0
2012-01-05;17:00;4022;0
2012-01-05;17:30;4198;0
2012-01-05;18:00;4110;0
2012-01-05;18:30;3749;0
2012-01-05;19:00;3489;0
